City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,olonkinbyen,70.9221,-8.7187,-3.76,78,100,14.92,SJ,1731467135
186,usinsk,65.9939,57.5281,-13.03,87,100,4.24,RU,1731467137
187,santiago de cao,-7.9589,-79.2392,17.07,88,100,3.09,PE,1731467138
188,kayyerkan,69.3786,87.7439,-24.13,98,98,1.49,RU,1731467139
189,arraial do cabo,-22.9661,-42.0278,22.92,100,40,9.26,BR,1731467140
190,valdivia,-39.8142,-73.2459,11.05,90,91,0.97,CL,1731466657
191,coronel dorrego,-38.7187,-61.2873,11.27,56,72,3.45,AR,1731467143
192,jaguarari,-10.2639,-40.1958,20.85,76,72,1.13,BR,1731467109
193,kapuskasing,49.4169,-82.4331,-2.95,100,100,6.69,CA,1731467145
194,tebingtinggi,3.3285,99.1625,27.85,80,100,1.75,ID,1731467146
